question_id,class,gt_kw_in_context,gt_kw_frac_in_kg_source,ground_truth,method
B10,synthesis_or_metric,True,0.94,DC-M (3200 kW = 3.2 MW) and DC-L (25000 kW = 25 MW) - both above 1 MW threshold,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B11,synthesis_or_metric,True,1.0,"No - DC-S has 500 kW IT capacity, below the 1 MW threshold",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B13,routing_under_retrieval,False,1.0,Yes - heat-pump is in the eligible_tech list of IT-TEE-CB,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B17,routing_under_retrieval,False,1.0,DK-DH-PLANNING-ACT (Varmeforsyningsloven) via GOVERNED_BY relationship,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B18,routing_under_retrieval,False,0.9,2: EED Art.26 disclosure (EU) and DK DH connection mandate (national),keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B19,synthesis_or_metric,True,0.93,"47.6C (HS-M-direct_HX, direct heat exchange from mid-size LC data center)",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B21,synthesis_or_metric,True,0.88,T2 (60-90C medium-grade band) via IN_BAND relationship,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B22,routing_under_retrieval,False,0.79,Processes in T1 and T2 bands: Pasteurization (60C) is reachable; Paper Drying (90C) is borderline GAP at 70C supply,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B23,borderline_derived,False,0.57,20C gap (110C supply vs 130C required),keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B24,routing_under_retrieval,False,0.81,Partially feasible: DC-S direct_HX supply 47.6C is below 4GDH supply 60C but above return 35C - pre-heating role possible,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B26,synthesis_or_metric,True,0.86,9 (3 DC x 3 upgrade technologies),keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B28,synthesis_or_metric,True,0.93,"3 scenarios (S2, S5, S8 - Paper Drying process across DC-S, DC-M, DC-L)",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B29,projection_gap,False,0.4,baseload - continuous availability throughout the year,"reclassified 2026-06-13: profile='baseload' EXISTS on all 9 HeatSource nodes (step_3_1d line 99); no template RETURNs it (projection gap, not data gap); availability gloss added by step_3_1g"
B30,borderline_derived,False,0.68,"DC-M waste heat: 3840 kW x 7000h = 26880 MWh/yr x 25.8 EUR/MWh = approx 693,504 EUR/yr",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B32,routing_under_retrieval,False,1.0,Yes - Country DK has eed_transposed = True,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B33,borderline_derived,False,0.62,5% - significantly lower than Denmark at 65%,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C03,routing_under_retrieval,False,0.91,DC-S: 590 kW waste heat / HS capacity 590 kW; DC-L: 30000 kW waste heat / HS capacity 29500 kW - ratio ~50x,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C05,routing_under_retrieval,False,0.78,T1 gap: 12.4C (47.6 vs 60C); T2 gap: 42.4C if direct_HX but 20C with HP (70 vs 90C); T3 gap: 20C with CO2_HTHP (110 vs 130C),keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C06,borderline_derived,False,0.56,HP upgrade (70C supply) gives 20C gap vs Paper Drying 90C; CO2_HTHP would be overcapacity at 110C,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C07,synthesis_or_metric,True,1.0,"Food sector: 6 scenarios (pasteurization S1,S4,S7 + sterilization S3,S6,S9); Paper sector: 3 scenarios (S2,S5,S8)",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C09,synthesis_or_metric,True,0.79,HS-S-HP: 590 kW; HS-M-HP: 3776 kW; HS-L-HP: 29500 kW - roughly proportional to IT capacity,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C10,routing_under_retrieval,False,0.83,"Italy: 5%, Denmark: 65% - Denmark has 13x higher DH penetration",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C11,routing_under_retrieval,False,0.95,Denmark: mandatory DH connection >1MW (Varmeforsyningsloven) plus NECP DC WHR target; Italy has incentive-based (TEE/CB) not mandatory connection,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C12,routing_under_retrieval,False,0.81,Italy: 5 ministerial/directorial decrees (incentive-based TEE/CB); Denmark: NECP + Heat Supply Act (obligation-based),keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C13,routing_under_retrieval,False,0.78,Italy: explicit TEE/CB at 25.8 EUR/MWh for WHR; Denmark: mandatory connection ensures revenue but no direct subsidy in graph - Italy has more explicit financial,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C14,synthesis_or_metric,True,0.95,3GDH supply 80C: DC LC direct_HX (47.6C) incompatible without HP; 4GDH supply 60C: DC LC compatible as pre-heat source,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C15,synthesis_or_metric,True,1.0,"Mandatory: EED-ART-26, EED-ART-23, EED-ART-24, DK-DH-ACT-CONNECTION-MANDATE = 4; Voluntary: DK-NECP-DC-WHR-TARGET = 1",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C16,routing_under_retrieval,False,0.86,"Italy: EED Art.26 disclosure mandatory, TEE/CB available; Denmark: EED Art.26 + Varmeforsyningsloven mandatory DH connection + NECP target - Denmark has higher ",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C17,routing_under_retrieval,False,0.8,Both Italy and Denmark have eed_transposed = True; EU entry also marked True,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C18,routing_under_retrieval,False,1.0,3GDH (80C supply): DC LC WHR at 47.6C requires HP upgrade to 80C; 4GDH (60C supply): direct_HX compatible as low-temperature pre-heat source,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C19,synthesis_or_metric,True,0.88,"direct_HX: 47.6C (no upgrade), HP: 70.0C (+22.4C), CO2_HTHP: 110.0C (+62.4C from base)",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C20,routing_under_retrieval,False,0.8,CO2_HTHP at 110C supply temperature,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C21,borderline_derived,False,0.67,All three have 10C delta-T by design (direct_HX: 47.6/37.6; HP: 70/60; CO2_HTHP: 110/100),keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C22,borderline_derived,False,0.62,CO2_HTHP (110C supply) is closest but still has 20C gap; no current technology in graph achieves direct compatibility,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C23,routing_under_retrieval,False,0.79,"S4 (DC-M, T1, direct_HX, 47.6C, 3776kW); S5 (DC-M, T2, HP, 70C, 3776kW); S6 (DC-M, T3, CO2_HTHP, 110C, 3776kW)",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C24,routing_under_retrieval,False,0.89,"Scenarios with sufficient WHR for absorption cooling (typically T2/T3): S2,S3,S5,S6,S8,S9 - absorption-chiller is in eligible_tech list",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C25,synthesis_or_metric,True,1.0,"T1: Food (pasteurization); T2: Paper (paper drying); T3: Food (sterilization) - 2 sectors for T1+T3, 1 for T2",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C27,routing_under_retrieval,False,0.71,All 9 scenarios qualify (waste-heat-recovery eligible); HP scenarios additionally qualify under heat-pump category; total revenue scales with DC capacity,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C28,synthesis_or_metric,True,1.0,Regulation: 7 nodes; RegulatoryArticle: 6 nodes,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C29,synthesis_or_metric,True,0.83,"3GDH: 500 MW capacity; 4GDH: 300 MW capacity (newer, more efficient network)",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C31,borderline_derived,False,0.52,Italy: TEE/CB reduces financial risk (positive revenue 25.8 EUR/MWh); Denmark: mandatory connection reduces market access risk but no direct subsidy - different,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C32,routing_under_retrieval,False,0.88,"Italy: 5 decrees + 1 incentive + 1 actor = 7 nodes; Denmark: 2 frameworks + 2 articles + 2 networks + 1 actor = 7 nodes - equal coverage, different types",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
C33,routing_under_retrieval,False,0.86,"S4 or S7 (DC-M/DC-L, T1, direct_HX) in Italy: lowest upgrade cost (no HP), TEE/CB eligible at 25.8 EUR/MWh, EED Art.26 compliance via disclosure only; OR S5/S8 ",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
