pair_id,dc_name,dc_t_supply_mean_c,dc_t_supply_max_c,dc_q_nominal_kw,plant_id,process_name,sector,description,t_req_c,q_demand_kw,distance_km,shift_type,t_avail_fraction,delta_tc_baseline,upgrade_tech_mean,upgrade_tech_max,ri_static,label_feasible,ri_threshold,source_ref
P_LC011,Mid_LC,47.6,50.0,3104.0,LowT_02_Greenhouse,LowT_60C,agriculture,"Heated greenhouse, year-round (Nordic analogue)",55.0,300.0,2.0,continuous,0.95,0.2,HP,direct_HX,0.7516,True,0.5,CE-HEAT WP3 / Kalundborg
P_LC012,Mid_LC,47.6,50.0,3104.0,LowT_03_Aquaculture,LowT_60C,aquaculture,Fish farm thermal regulation (ENEA coastal cluster),65.0,180.0,3.5,continuous,0.88,0.3,HP,HP,0.6541,True,0.5,CE-HEAT WP4
P_LC013,Mid_LC,47.6,50.0,3104.0,MidT_04_TextileDye,MidT_90C,textile,"Textile dyeing/finishing (Prato district, Tuscany)",90.0,800.0,2.5,2shift,0.78,0.42,HP,HP,0.5716,True,0.5,CE-HEAT WP3 / ENEA B9
P_LC014,Mid_LC,47.6,50.0,3104.0,MidT_05_WoodDry,MidT_90C,wood_processing,Timber kiln drying (Alpine cluster),85.0,600.0,1.8,1shift,0.8,0.38,HP,HP,0.6151,True,0.5,CE-HEAT WP4 / ENEA B9
P_LC015,Mid_LC,47.6,50.0,3104.0,MidT_06_PaperPulp,MidT_90C,paper_pulp,Paper/pulp pre-drying (Po Valley industrial zone),95.0,1200.0,4.0,continuous,0.85,0.45,HP,HP,0.5266,True,0.5,CE-HEAT WP3 / ENEA B9
P_LC016,Mid_LC,47.6,50.0,3104.0,HighT_07_Rubber,HighT_130C,rubber_plastics,"Rubber vulcanisation, moulding (Porto Marghera type)",130.0,1000.0,3.0,2shift,0.75,0.55,CO2_HTHP,CO2_HTHP,0.4091,False,0.5,ENEA B9 / CE-HEAT WP3
P_LC017,Mid_LC,47.6,50.0,3104.0,HighT_08_ChemReact,HighT_130C,chemicals,"Chemical process reactor pre-heating, solvent recovery",125.0,2500.0,4.5,continuous,0.82,0.6,CO2_HTHP,CO2_HTHP,0.3991,False,0.5,CE-HEAT WP4 / ENEA B9
P_LC018,Mid_LC,47.6,50.0,3104.0,HighT_09_IndSteam,HighT_130C,industrial_steam,"Low-pressure industrial steam, autoclave sterilisation",135.0,800.0,2.8,1shift,0.7,0.57,CO2_HTHP,CO2_HTHP,0.3851,False,0.5,A9 / CE-HEAT
P_LC019,Hyperscale_LC,46.0,48.0,24500.0,LowT_01_FoodDry,LowT_60C,food_processing,"Fruit/vegetable drying, pasteurisation (Emilia-Romagna)",60.0,450.0,1.2,continuous,0.92,0.25,HP,HP,0.745,True,0.5,CE-HEAT WP3 / ENEA B9
P_LC020,Hyperscale_LC,46.0,48.0,24500.0,LowT_02_Greenhouse,LowT_60C,agriculture,"Heated greenhouse, year-round (Nordic analogue)",55.0,300.0,2.0,continuous,0.95,0.2,HP,HP,0.746,True,0.5,CE-HEAT WP3 / Kalundborg
P_LC021,Hyperscale_LC,46.0,48.0,24500.0,LowT_03_Aquaculture,LowT_60C,aquaculture,Fish farm thermal regulation (ENEA coastal cluster),65.0,180.0,3.5,continuous,0.88,0.3,HP,HP,0.6485,True,0.5,CE-HEAT WP4
P_LC022,Hyperscale_LC,46.0,48.0,24500.0,MidT_04_TextileDye,MidT_90C,textile,"Textile dyeing/finishing (Prato district, Tuscany)",90.0,800.0,2.5,2shift,0.78,0.42,HP,HP,0.566,True,0.5,CE-HEAT WP3 / ENEA B9
P_LC023,Hyperscale_LC,46.0,48.0,24500.0,MidT_05_WoodDry,MidT_90C,wood_processing,Timber kiln drying (Alpine cluster),85.0,600.0,1.8,1shift,0.8,0.38,HP,HP,0.6095,True,0.5,CE-HEAT WP4 / ENEA B9
P_LC024,Hyperscale_LC,46.0,48.0,24500.0,MidT_06_PaperPulp,MidT_90C,paper_pulp,Paper/pulp pre-drying (Po Valley industrial zone),95.0,1200.0,4.0,continuous,0.85,0.45,HP,HP,0.521,True,0.5,CE-HEAT WP3 / ENEA B9
P_LC025,Hyperscale_LC,46.0,48.0,24500.0,HighT_07_Rubber,HighT_130C,rubber_plastics,"Rubber vulcanisation, moulding (Porto Marghera type)",130.0,1000.0,3.0,2shift,0.75,0.55,CO2_HTHP,CO2_HTHP,0.4035,False,0.5,ENEA B9 / CE-HEAT WP3
P_LC026,Hyperscale_LC,46.0,48.0,24500.0,HighT_08_ChemReact,HighT_130C,chemicals,"Chemical process reactor pre-heating, solvent recovery",125.0,2500.0,4.5,continuous,0.82,0.6,CO2_HTHP,CO2_HTHP,0.3935,False,0.5,CE-HEAT WP4 / ENEA B9
P_LC027,Hyperscale_LC,46.0,48.0,24500.0,HighT_09_IndSteam,HighT_130C,industrial_steam,"Low-pressure industrial steam, autoclave sterilisation",135.0,800.0,2.8,1shift,0.7,0.57,CO2_HTHP,CO2_HTHP,0.3795,False,0.5,A9 / CE-HEAT
